id_chat,Coordination,Efficiency,Conflict,Inequality,Unknown
1,0,0,0,0,1
2,0,0,0,0,1
3,1,1,0,0,0
4,1,1,0,0,0
5,1,0,0,0,0
6,1,1,0,0,0
7,1,1,0,0,0
8,0,0,0,0,1
9,1,0,0,0,0
10,0,0,0,0,1
11,0,0,0,0,1
12,0,0,1,0,0
13,1,0,1,0,0
14,1,0,1,0,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,1,0,0
18,0,0,0,0,1
19,1,0,0,0,0
20,1,0,0,0,0
21,1,0,0,0,0
22,1,0,0,0,0
23,1,0,0,0,0
24,1,0,0,0,0
25,1,0,0,0,0
26,1,0,0,0,0
27,1,0,0,0,0
28,1,0,0,0,0
29,1,1,0,0,0
30,1,1,0,0,0
31,1,1,0,0,0
32,1,0,0,0,0
33,1,1,0,0,0
34,1,1,0,0,0
35,1,0,...
