id_chat,text,Coordination,Efficiency,Conflict,Inequality,Unknown,Model,Simulation
1,Participants agreed to say yes in each trial and discussed how many times they were Red.,1,0,0,0,0,4,1
2,Participants agreed to always vote yes to trades and that it's advantageous for the decision maker to always say yes as well. They also discussed how many times they were Red.,1,1,0,0,0,4,1
3,"Participants agreed to trade and to vote yes, so that at some point everyone will get the maximum amount of points. They also discussed how many points they received per round, and that if you’re Blue you lose 2 points per round.",1,1,0,0,0,4,1
4,"Participants agreed that everyone should trade and vote yes because this will give the group the highest yield, and also discussed how many points they received per round.",1,1,0,0,0,4,1
5,"Participants at first were unsure if they would trade, but later agreed to trade and to vote yes.",1,1,0,0,0,4,1
6,"Participants agreed to vote yes each time, giving a higher likelihood of getting a bonus at one point, and concluded that they’re all getting the same amount of points.",1,0,0,0,0,4,1
7,"Participants agreed to trade and vote yes, and that in this strategy they each only lose 2 points if they are Blue and gain 100 if they are Red, so everyone benefits.",1,1,0,0,0,4,1
8,No relevant conversation.,0,0,0,0,1,4,1
9,"Participants agreed to trade and to vote yes, and that Red gets the bonus. Their second strategy was to alternate between voting yes and trading, and voting no and not trading.",1,1,0,0,0,4,1
10,Participants weren’t sure if they were supposed to strategize together.,1,0,0,0,0,4,1
11,No discussion.,0,0,0,0,1,4,1
12,"Participants discussed to always trade and vote yes, but one of the participants was deviating from the plan.",1,1,0,0,0,4,1
13,"Participants agreed to trade and vote yes, and discussed that everyone gets the same probability of being Red. Someone deviated and participants discussed if they were doing it on purpose.",1,1,0,0,0,4,1
14,"Participants agreed to trade and vote yes each round, and discussed that someone didn’t trade for a round.",1,1,0,0,0,4,1
15,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
16,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
17,Participants agreed to trade and always vote yes and discussed how someone was voting no.,1,1,0,0,0,4,1
18,Nothing of relevance.,0,0,0,0,1,4,1
19,"Participants agreed to trade and always vote yes, and discussed how many rounds there were left.",1,1,0,0,0,4,1
20,Participants agreed to trade.,1,1,0,0,0,4,1
21,Participants agreed to vote yes if they are the decisionmaker.,1,0,0,0,0,4,1
22,Participants agreed to vote yes if they are the decisionmaker and discussed how many times they were Red.,1,0,0,0,0,4,1
23,"Participants agreed to trade and always vote yes, and discussed how many points they put in the beginning after the instructions.",1,1,0,0,0,4,1
24,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
25,"Participants agreed to trade and vote yes, and discussed how many times they were Red.",1,1,0,0,0,4,1
26,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
27,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
28,Participants agreed to trade.,1,1,0,0,0,4,1
29,"Participants agreed to trade and vote yes because everyone has an equal chance of being Red, and when someone deviated the group agreed to continue to vote yes regardless.",1,1,0,1,0,4,1
30,Participants agreed to always trade and always vote yes to maximize the total value they could earn.,1,1,0,0,0,4,1
31,Participants discussed that everyone has a ⅓ chance of getting the maximum earnings if the decision maker votes yes and to trade each time.,1,1,0,0,0,4,1
32,Participants agreed to vote yes each time.,1,0,0,0,0,4,1
33,"At first participants discussed how to make the most money possible, and decided that the decision maker switches between yes and no when sharing the bonus. Then they changed their strategy to trade every time and Red takes the earnings for themselves. They changed strategy a third time, deciding to forgo trade so that everyone makes the same amount of money.",1,1,0,0,0,4,1
34,"Participants agreed to always trade, give the bonus, and vote yes. They also discussed that when a participant is both Red and decision maker, they essentially are just giving themselves points.",1,1,0,0,0,4,1
35,Participants agreed to trade and to vote yes.,1,1,0,0,0,4,1
36,Participants agreed to trade and to vote yes/award the bonus each time.,1,1,0,0,0,4,1
37,Participants agreed to trade and discussed how many rounds they completed.,1,1,0,0,0,4,1
38,Participants discussed that there’s no benefit to not trading.,0,1,0,0,0,4,1
39,Participants agreed to trade and to vote yes. They also discussed how it was strange to them that it’s possible to be Red and the decision maker because they are awarding points to themselves.,1,1,0,0,0,4,1
40,Participants agreed to always trade and for the decision maker to vote yes.,1,1,0,0,0,4,1
41,"Participants agreed to trade and vote yes, asked if everyone were Red at some point, and agreed to keep up the strategy.",1,1,0,0,0,4,1
42,Participants agreed to trade and to continue with the strategy. They discussed to not trade for each round but didn’t plan which person votes no when.,1,1,0,0,0,4,1
43,"Participants agreed that everyone is better off trading and with the decision maker voting yes, and to be consistent each round.",1,0,0,0,0,4,1
44,"Participants agreed to trade and vote yes, and discussed that they’re not losing much by always trading.",1,1,0,0,0,4,1
45,"Participants agreed to trade and vote yes, and discussed how many times they were Red.",1,1,0,0,0,4,1
46,Participants agreed to trade and vote yes.,1,1,0,0,0,4,1
47,Participants agreed to trade and vote yes because it maximizes their earnings. They also discussed that some of them did not get the decisionmaker role.,1,1,0,0,0,4,1
48,"Participants agreed to trade and vote yes because it maximizes their earnings, and discussed how many rounds they had left.",1,1,0,0,0,4,1
49,Participants asked how many they are trading (unclear).,0,0,0,0,0,4,1
50,Participants agreed to trade and vote yes.,1,1,0,0,0,4,1
51,Participants agreed to say yes when they are the decisionmaker and discussed that everyone got the bonus.,1,0,0,0,0,4,1
52,Participants agreed to trade and vote yes.,1,1,0,0,0,4,1
53,"Participants decided to vote yes, no, yes, and then no in the rounds, but then decided that in order to get the bonuses they should all say yes in each round.",1,0,0,0,0,4,1
54,Participants agreed to trade and vote yes to make the most money.,1,1,0,0,0,4,1
55,Participants agreed to trade and always vote yes.,1,1,0,0,0,4,1
56,Participants agreed to trade and vote no.,1,1,0,0,0,4,1
57,"Participants agreed to trade and vote yes, and that the payoffs are chosen randomly at the end.",1,1,0,0,0,4,1
58,"Participants agreed to maximize the bonus for everyone by trading and voting yes, and discussed how many times they got the Red bonus.",1,1,0,0,0,4,1
59,"Participants discussed to always trade and always vote yes, and explained to a confused member that this strategy will maximize payment.",1,1,0,0,0,4,1
60,Participants agreed to always vote yes and that the decision maker is random but is the same for each round.,1,0,0,0,0,4,1
