"id_chat","text","Coordination","Unknown","Model","Simulation"
1,Participants agreed to say yes in each trial and discussed how many times they were Red.,1,0,6,1
2,Participants agreed to always vote yes to trades and that it's advantageous for the decision maker to always say yes as well. They also discussed how many times they were Red.,1,0,6,1
3,"Participants agreed to trade and to vote yes, so that at some point everyone will get the maximum amount of points. They also discussed how many points they received per round, and that if you’re Blue you lose 2 points per round.",1,0,6,1
4,"Participants agreed that everyone should trade and vote yes because this will give the group the highest yield, and also discussed how many points they received per round.",1,0,6,1
5,"Participants at first were unsure if they would trade, but later agreed to trade and to vote yes.",1,0,6,1
6,"Participants agreed to vote yes each time, giving a higher likelihood of getting a bonus at one point, and concluded that they’re all getting the same amount of points.",1,0,6,1
7,"Participants agreed to trade and vote yes, and that in this strategy they each only lose 2 points if they are Blue and gain 100 if they are Red, so everyone benefits.",1,0,6,1
8,No relevant conversation.,0,1,6,1
9,"Participants agreed to trade and to vote yes, and that Red gets the bonus. Their second strategy was to alternate between voting yes and trading, and voting no and not trading.",1,0,6,1
10,Participants weren’t sure if they were supposed to strategize together.,0,1,6,1
11,No discussion.,0,1,6,1
12,"Participants discussed to always trade and vote yes, but one of the participants was deviating from the plan.",1,0,6,1
13,"Participants agreed to trade and vote yes, and discussed that everyone gets the same probability of being Red. Someone deviated and participants discussed if they were doing it on purpose.",1,0,6,1
14,"Participants agreed to trade and vote yes each round, and discussed that someone didn’t trade for a round.",1,0,6,1
15,Participants agreed to trade and always vote yes.,1,0,6,1
16,Participants agreed to trade and always vote yes.,1,0,6,1
17,Participants agreed to trade and always vote yes and discussed how someone was voting no.,1,0,6,1
18,Nothing of relevance.,0,1,6,1
19,"Participants agreed to trade and always vote yes, and discussed how many rounds there were left.",1,0,6,1
20,Participants agreed to trade.,1,0,6,1
21,Participants agreed to vote yes if they are the decisionmaker.,1,0,6,1
22,Participants agreed to vote yes if they are the decisionmaker and discussed how many times they were Red.,1,0,6,1
23,"Participants agreed to trade and always vote yes, and discussed how many points they put in the beginning after the instructions.",1,0,6,1
24,Participants agreed to trade and always vote yes.,1,0,6,1
25,"Participants agreed to trade and vote yes, and discussed how many times they were Red.",1,0,6,1
26,Participants agreed to trade and always vote yes.,1,0,6,1
27,Participants agreed to trade and always vote yes.,1,0,6,1
28,Participants agreed to trade.,1,0,6,1
29,"Participants agreed to trade and vote yes because everyone has an equal chance of being Red, and when someone deviated the group agreed to continue to vote yes regardless.",1,0,6,1
30,Participants agreed to always trade and always vote yes to maximize the total value they could earn.,1,0,6,1
31,Participants discussed that everyone has a ⅓ chance of getting the maximum earnings if the decision maker votes yes and to trade each time.,1,0,6,1
32,Participants agreed to vote yes each time.,1,0,6,1
